geometry,case,seed,n_breaks,n_components,retained_length,removed_length,detached_length,detached_fraction,tissue_n,mpi_size,tissue_cells,network_cells,total_dofs,inlet_flux,wall_exchange,tissue_boundary_outflow,tissue_mean_pressure,tissue_l2_norm,vessel_l2_norm,axial_flow_l2_norm,energy,conservation_relative_error,energy_relative_error,linear_relative_residual,inlet_bc_error,assembly_seconds,solve_seconds,ksp_reason,relative_inlet_flux_change,relative_tissue_mean_change,tissue_relative_l2_error,vessel_retained_relative_l2_error,axial_flow_retained_relative_l2_error,total_seconds,saved_tissue_solution
line,intact,,0,1,0.8,0.0,0,0.0,24,8,82944,82,15708,0.0036137682306357985,0.003613768230637532,0.0036137682306375376,0.00016231545531544643,0.00028310030625972255,0.5395606238268188,0.0016178002982108032,0.0036137682306355795,4.812318260822118e-13,6.060400802282586e-14,3.540428663491725e-16,0.0,8.787113848142326,0.24959878087975085,4,0.0,0.0,0.0,0.0,0.0,24.528226480120793,True
line,gap_at_0.2,,1,2,0.78,0.020000000000000018,0.63,0.8076923076923077,24,8,82944,80,15707,0.0011424597416943329,0.0011424597416947258,0.0011424597416947267,4.001229502335703e-05,9.658854271967117e-05,0.3761439294132812,0.0002537939185082214,0.0011424597416943335,3.44679304377705e-13,5.694041371878384e-16,1.7667657967014052e-16,0.0,5.341707418905571,0.19810096197761595,4,-0.6838591551032228,-0.7534905413314061,0.76939513498802,0.769616490280328,0.8966101871268736,20.79679992189631,True
line,gap_at_0.5,,1,2,0.78,0.020000000000000018,0.39000000000000007,0.5000000000000001,24,8,82944,78,15705,0.002558563675711152,0.0025585636757119706,0.002558563675711978,0.0001143668428390105,0.0002271704007849706,0.524696851247419,0.0008873260425070643,0.0025585636757108647,3.22731219239814e-13,1.1237962098530499e-13,3.5290925022997666e-16,0.0,5.642524220980704,0.22598210093565285,4,-0.2919956365710249,-0.29540386270211816,0.38206295810057644,0.5250046204260108,0.5356178791888438,31.052292834967375,True
line,gap_at_0.8,,1,2,0.78,0.020000000000000018,0.15000000000000002,0.19230769230769232,24,8,82944,80,15707,0.003336444941726263,0.0033364449417277965,0.003336444941727802,0.0001560761802975779,0.0002806204745176883,0.547760682679198,0.0013911787689237086,0.003336444941726073,4.613093969607306e-13,5.693252067309425e-14,3.5904289989479103e-16,0.0,3.484644037904218,0.2127267410978675,4,-0.07674075126305036,-0.03843919240926896,0.12254038022563368,0.2982285488873777,0.18979824499284942,18.99379407800734,True
line,gap_width_0.01,,1,2,0.79,0.010000000000000009,0.3950000000000001,0.5000000000000001,24,8,82944,80,15707,0.0025809137900488746,0.002580913790049989,0.0025809137900499944,0.00011564865791794681,0.0002290596486086121,0.5260190233634819,0.0008999401294728932,0.002580913790048714,4.33863389029288e-13,6.217252282759355e-14,3.50902117578806e-16,0.0,4.6056470240000635,0.21027939184568822,4,-0.2858109249594033,-0.2875068015353598,0.375336534333187,0.5268542417833849,0.5321779253678988,16.609569544903934,True
line,gap_width_0.04,,1,2,0.76,0.040000000000000036,0.38,0.5,24,8,82944,76,15703,0.0025129820001677638,0.002512982000169131,0.002512982000169137,0.0001117555921261981,0.00022328377223205313,0.5218979825767859,0.0008618852704659944,0.0025129820001678765,5.463762299706009e-13,4.486981042083066e-14,3.114453591757139e-16,0.0,7.682998592965305,0.19687091698870063,4,-0.30460897329720693,-0.3114913677874327,0.39569421267465754,0.5212952253501824,0.5429546644760861,23.752245246898383,True
y,intact,,0,1,1.3433981132056605,0.0,0,0.0,24,8,82944,140,15766,0.004236799925682992,0.004236799925680605,0.0042367999256806115,0.00018640735563311487,0.0003114165379683776,0.517807833787513,0.0020484139687330398,0.004236799925682279,5.633920753431127e-13,1.682806271555656e-13,1.050177086087977e-15,0.0,11.227041241014376,0.20105302287265658,4,0.0,0.0,0.0,0.0,0.0,26.52843136782758,True
y,gap_trunk,,1,2,1.3233981132056605,0.020000000000000018,1.1333981132056605,0.8564302018386863,24,8,82944,138,15765,0.0014222246974191371,0.0014222246974195834,0.001422224697419585,5.307485666542857e-05,0.0001228196819029081,0.41619162889794364,0.000354389435596322,0.0014222246974190502,3.148415985526593e-13,6.113873172863153e-14,2.0028882685758825e-16,0.0,4.852664676960558,0.20828284788876772,4,-0.6643162947587458,-0.7152748801936228,0.748327651337181,0.7234671152310447,0.8828545564554665,20.260207783896476,True
y,gap_upper,,1,2,1.3233981132057806,0.01999999999987989,0.22584952830147512,0.1706587957529881,24,8,82944,136,15763,0.004040024085398546,0.004040024085395293,0.0040400240853952964,0.00018386763821831082,0.00031452967354901905,0.5307564965105842,0.0018975817510549012,0.004040024085397689,8.050958233670149e-13,2.1211591292980784e-13,2.157457405939634e-15,0.0,6.545302753103897,0.20475190901197493,4,-0.046444449522294984,-0.013624555780956893,0.10895180776331655,0.25839641745497666,0.14042540182552113,22.381110000191256,True
y,gap_lower,,1,2,1.3233981132057806,0.01999999999987989,0.22584952830147512,0.1706587957529881,24,8,82944,136,15763,0.004040003002451893,0.004040003002452462,0.004040003002452465,0.00018389535002631463,0.0003147910467123964,0.5307611894264505,0.0018975615720937826,0.004040003002451831,1.414829110244366e-13,1.545792047611471e-14,1.1593740895084128e-15,0.0,4.048961125081405,0.19748498685657978,4,-0.046449425671044486,-0.013475893149540452,0.10881945701594181,0.2583992381911105,0.1404371060540699,36.18019438092597,True
