geometry,case,seed,branch,fraction,width,start_x,start_y,start_z,end_x,end_y,end_z
line,gap_at_0.2,,0,0.2,0.02,0.25,0.5,0.5,0.27,0.5,0.5
line,gap_at_0.5,,0,0.5,0.02,0.49,0.5,0.5,0.51,0.5,0.5
line,gap_at_0.8,,0,0.8,0.02,0.7300000000000001,0.5,0.5,0.7500000000000001,0.5,0.5
line,gap_width_0.01,,0,0.5,0.01,0.495,0.5,0.5,0.505,0.5,0.5
line,gap_width_0.04,,0,0.5,0.04,0.48,0.5,0.5,0.52,0.5,0.5
y,gap_trunk,,0,0.5,0.02,0.29000000000000004,0.5,0.5,0.31000000000000005,0.5,0.5
y,gap_upper,,1,0.5,0.02,0.691520016959949,0.6197000105999682,0.5,0.7084799830400509,0.6302999894000318,0.5
y,gap_lower,,2,0.5,0.02,0.691520016959949,0.3802999894000318,0.5,0.7084799830400509,0.3697000105999682,0.5
y,gap_both_daughters,,1,0.5,0.02,0.691520016959949,0.6197000105999682,0.5,0.7084799830400509,0.6302999894000318,0.5
y,gap_both_daughters,,2,0.5,0.02,0.691520016959949,0.3802999894000318,0.5,0.7084799830400509,0.3697000105999682,0.5
tree,seed_11_breaks_1,11,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_11_breaks_2,11,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_11_breaks_2,11,55,0.5,0.02,0.8004552002196497,0.5686077499313595,0.5875,0.8195447997803502,0.5626422500686405,0.5875
tree,seed_11_breaks_4,11,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_11_breaks_4,11,55,0.5,0.02,0.8004552002196497,0.5686077499313595,0.5875,0.8195447997803502,0.5626422500686405,0.5875
tree,seed_11_breaks_4,11,11,0.5,0.02,0.521520016959949,0.6365499894000319,0.325,0.5384799830400508,0.6259500105999682,0.325
tree,seed_11_breaks_4,11,62,0.5,0.02,0.8004552002196497,0.7813922500686404,0.7625,0.8195447997803502,0.7873577499313594,0.7625
tree,seed_11_breaks_8,11,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_11_breaks_8,11,55,0.5,0.02,0.8004552002196497,0.5686077499313595,0.5875,0.8195447997803502,0.5626422500686405,0.5875
tree,seed_11_breaks_8,11,11,0.5,0.02,0.521520016959949,0.6365499894000319,0.325,0.5384799830400508,0.6259500105999682,0.325
tree,seed_11_breaks_8,11,62,0.5,0.02,0.8004552002196497,0.7813922500686404,0.7625,0.8195447997803502,0.7873577499313594,0.7625
tree,seed_11_breaks_8,11,5,0.5,0.02,0.3837530495244557,0.675,0.4203086880944303,0.3962469504755442,0.675,0.4046913119055697
tree,seed_11_breaks_8,11,4,0.5,0.02,0.3837530495244557,0.325,0.5796913119055698,0.3962469504755442,0.325,0.5953086880944303
tree,seed_11_breaks_8,11,51,0.5,0.02,0.8004552002196497,0.7436077499313595,0.2375,0.8195447997803502,0.7376422500686405,0.2375
tree,seed_11_breaks_8,11,36,0.5,0.02,0.8004552002196497,0.43139225006864046,0.2375,0.8195447997803502,0.43735774993135945,0.2375
tree,seed_11_breaks_16,11,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_11_breaks_16,11,55,0.5,0.02,0.8004552002196497,0.5686077499313595,0.5875,0.8195447997803502,0.5626422500686405,0.5875
tree,seed_11_breaks_16,11,11,0.5,0.02,0.521520016959949,0.6365499894000319,0.325,0.5384799830400508,0.6259500105999682,0.325
tree,seed_11_breaks_16,11,62,0.5,0.02,0.8004552002196497,0.7813922500686404,0.7625,0.8195447997803502,0.7873577499313594,0.7625
tree,seed_11_breaks_16,11,5,0.5,0.02,0.3837530495244557,0.675,0.4203086880944303,0.3962469504755442,0.675,0.4046913119055697
tree,seed_11_breaks_16,11,4,0.5,0.02,0.3837530495244557,0.325,0.5796913119055698,0.3962469504755442,0.325,0.5953086880944303
tree,seed_11_breaks_16,11,51,0.5,0.02,0.8004552002196497,0.7436077499313595,0.2375,0.8195447997803502,0.7376422500686405,0.2375
tree,seed_11_breaks_16,11,36,0.5,0.02,0.8004552002196497,0.43139225006864046,0.2375,0.8195447997803502,0.43735774993135945,0.2375
tree,seed_11_breaks_16,11,26,0.5,0.02,0.661520016959949,0.7625,0.36345001059996823,0.6784799830400509,0.7625,0.3740499894000318
tree,seed_11_breaks_16,11,41,0.5,0.02,0.8004552002196497,0.21860774993135945,0.7625,0.8195447997803502,0.21264225006864051,0.7625
tree,seed_11_breaks_16,11,6,0.5,0.02,0.3837530495244557,0.675,0.5796913119055698,0.3962469504755442,0.675,0.5953086880944303
tree,seed_11_breaks_16,11,29,0.5,0.02,0.661520016959949,0.7625,0.6365499894000319,0.6784799830400509,0.7625,0.6259500105999682
tree,seed_11_breaks_16,11,1,0.5,0.02,0.24375304952445573,0.4203086880944303,0.5,0.2562469504755442,0.4046913119055697,0.5
tree,seed_11_breaks_16,11,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_11_breaks_16,11,9,0.5,0.02,0.521520016959949,0.2865499894000318,0.675,0.5384799830400508,0.2759500105999682,0.675
tree,seed_11_breaks_16,11,24,0.5,0.02,0.661520016959949,0.5875,0.36345001059996823,0.6784799830400509,0.5875,0.3740499894000318
tree,seed_11_breaks_32,11,56,0.5,0.02,0.8004552002196497,0.6063922500686405,0.5875,0.8195447997803502,0.6123577499313595,0.5875
tree,seed_11_breaks_32,11,55,0.5,0.02,0.8004552002196497,0.5686077499313595,0.5875,0.8195447997803502,0.5626422500686405,0.5875
tree,seed_11_breaks_32,11,11,0.5,0.02,0.521520016959949,0.6365499894000319,0.325,0.5384799830400508,0.6259500105999682,0.325
tree,seed_11_breaks_32,11,62,0.5,0.02,0.8004552002196497,0.7813922500686404,0.7625,0.8195447997803502,0.7873577499313594,0.7625
tree,seed_11_breaks_32,11,5,0.5,0.02,0.3837530495244557,0.675,0.4203086880944303,0.3962469504755442,0.675,0.4046913119055697
tree,seed_11_breaks_32,11,4,0.5,0.02,0.3837530495244557,0.325,0.5796913119055698,0.3962469504755442,0.325,0.5953086880944303
tree,seed_11_breaks_32,11,51,0.5,0.02,0.8004552002196497,0.7436077499313595,0.2375,0.8195447997803502,0.7376422500686405,0.2375
tree,seed_11_breaks_32,11,36,0.5,0.02,0.8004552002196497,0.43139225006864046,0.2375,0.8195447997803502,0.43735774993135945,0.2375
tree,seed_11_breaks_32,11,26,0.5,0.02,0.661520016959949,0.7625,0.36345001059996823,0.6784799830400509,0.7625,0.3740499894000318
tree,seed_11_breaks_32,11,41,0.5,0.02,0.8004552002196497,0.21860774993135945,0.7625,0.8195447997803502,0.21264225006864051,0.7625
tree,seed_11_breaks_32,11,6,0.5,0.02,0.3837530495244557,0.675,0.5796913119055698,0.3962469504755442,0.675,0.5953086880944303
tree,seed_11_breaks_32,11,29,0.5,0.02,0.661520016959949,0.7625,0.6365499894000319,0.6784799830400509,0.7625,0.6259500105999682
tree,seed_11_breaks_32,11,1,0.5,0.02,0.24375304952445573,0.4203086880944303,0.5,0.2562469504755442,0.4046913119055697,0.5
tree,seed_11_breaks_32,11,15,0.5,0.02,0.661520016959949,0.2375,0.2865499894000318,0.6784799830400509,0.2375,0.2759500105999682
tree,seed_11_breaks_32,11,9,0.5,0.02,0.521520016959949,0.2865499894000318,0.675,0.5384799830400508,0.2759500105999682,0.675
tree,seed_11_breaks_32,11,24,0.5,0.02,0.661520016959949,0.5875,0.36345001059996823,0.6784799830400509,0.5875,0.3740499894000318
tree,seed_11_breaks_32,11,3,0.5,0.02,0.3837530495244557,0.325,0.4203086880944303,0.3962469504755442,0.325,0.4046913119055697
